id,title,category,energy,fat,fatsat,fattrans,carbs,fiber,sugar,protein,cholesterol,sodium,calcium,iron,vitc,sugaradded,potassium,famu,fapu,magnesium,zinc,phosphorus,vita,thiamin,riboflavin,niacin,vitb6a,folate,folatefood,folac,vitb12,vitd,vite,vitk1,water,sugaralc,measures,density,healthLabels,cautionLabels
0057h5mb,Stuffed Artichokes,genericMeals,183.031,10.246,3.551,0.095,16.729,3.274,1.913,6.948,16.744,294.956,140.026,1.607,10.756,0.005,246.38,4.921,1.107,38.763,0.817,130.397,42.196,0.177,0.133,1.678,0.118,57.834,38.125,11.622,0.201,0.106,0.961,32.275,64.111,,"{""oneMedium"":208.64,""serving"":208.64,""ml"":1.0}",1.0,102760065,56
006r1g8b,Candied Kumquats,genericMeals,139.283,0.626,0.16,0.007,33.985,3.467,30.418,1.018,0.438,9.139,34.74,0.485,24.222,25.325,104.212,0.125,0.098,11.127,0.1,10.573,9.59,0.021,0.053,0.238,0.021,9.456,9.456,0.0,0.0,0.003,0.087,0.049,63.862,,"{""tbsp"":20.72,""ml"":1.0}",1.201,130023422,64
008pwpla,Celeriac Gratin,genericMeals,141.594,10.104,5.969,0.062,9.783,1.734,1.964,4.02,33.743,217.132,93.573,0.663,10.004,,263.366,2.938,0.513,20.343,0.684,112.782,95.604,0.548,0.585,3.48,0.664,11.774,11.774,12.368,0.518,0.181,0.425,24.52,74.555,,"{""oneMedium"":291.06,""serving"":291.06,""ml"":1.0}",1.0,115244781,0
00ltinxa,oatmeal bread,genericFoods,269.0,4.4,0.703,,48.5,4.0,8.14,8.4,0.0,447.0,66.0,2.7,0.0,,142.0,1.578,1.702,37.0,1.02,126.0,5.0,0.399,0.24,3.136,0.068,87.0,27.0,35.0,0.03,0.0,0.48,1.5,36.7,,"{""piece"":27.0,""serving"":27.0,""slice"":27.0,""cup"":35.0}",0.148,111148684,0
00nhti3b,Buckwheat Cake,genericMeals,318.101,13.958,5.555,0.215,43.64,2.087,19.477,5.946,61.09,176.504,111.491,1.751,0.573,17.814,163.111,5.986,1.515,46.921,0.838,205.179,90.256,0.229,0.206,2.026,0.127,68.297,23.553,26.3,0.155,0.363,1.407,2.132,34.611,,"{""oneMedium"":138.84,""serving"":138.84}",null,44039692,53
00rp1z5a,Chile Pasilla,packagedFoods,352.933,0.0,0.0,,56.469,14.117,49.411,14.117,0.0,35.293,141.173,7.623,,,,,,,,,,,,,,,,,,,,,,,"{""serving"":14.17,""piece"":7.08,""package"":85.0}",null,939524094,0
00x80u8a,prune plum,genericFoods,339.0,0.73,0.059,,89.07,,,3.7,0.0,5.0,72.0,3.52,0.0,,1058.0,0.483,0.159,64.0,0.75,112.0,88.0,0.118,0.165,2.995,0.745,2.0,2.0,0.0,0.0,0.0,,,4.0,,"{""oneMedium"":9.5,""serving"":33.0,""cup"":132.0}",0.558,1073741822,2
00yc2nbb,Parsnip Latkes,genericMeals,132.118,6.354,1.621,0.005,16.243,2.659,2.582,3.278,45.508,106.464,30.359,0.981,8.778,,312.844,3.617,0.808,20.593,0.501,73.143,158.392,0.104,0.115,0.96,0.174,48.217,36.09,7.128,0.109,0.245,1.312,15.725,72.941,,"{""oneMedium"":252.38,""serving"":252.38,""ml"":1.0}",1.0,111148829,48
011pgdqb,Sponge Toffee,genericMeals,323.554,1.295,0.698,0.001,81.474,0.316,80.75,0.231,0.085,667.702,8.187,0.376,0.014,80.628,24.645,0.364,0.036,7.11,0.284,8.963,0.057,0.025,0.013,0.038,0.002,0.058,0.058,0.0,0.008,0.0,0.017,0.208,14.15,,"{""oneMedium"":97.52,""serving"":97.52}",null,113246206,0
014t7imb,Elephant Ears,genericMeals,356.981,20.899,4.393,0.405,38.999,1.966,13.474,4.431,14.479,209.119,42.469,1.303,2.596,12.545,125.634,10.808,4.787,12.923,0.437,71.958,32.34,0.311,0.18,1.952,0.078,89.838,39.501,29.613,0.076,0.243,2.688,8.998,34.611,,"{""oneMedium"":90.56,""serving"":90.56,""ml"":1.0}",1.0,111148556,126
016vqqxb,Peach Paradise,fastFoods,66.139,0.441,,,15.873,0.22,6.834,0.22,0.0,6.614,,,,,,,,,,,,,,,,,,,,,,,,,"{""serving"":453.59}",null,16777216,0
01fzkwda,Feijoa Cake,genericMeals,258.132,10.213,4.827,0.425,38.302,3.433,18.587,4.791,52.997,185.885,68.775,0.846,9.606,13.192,163.131,3.348,1.279,24.571,0.564,129.039,65.515,0.053,0.117,0.785,0.084,20.45,20.45,0.0,0.131,0.37,1.125,3.274,45.236,,"{""oneMedium"":104.61,""serving"":104.61,""ml"":1.0}",1.0,44039692,59
01iby4aa,raw turkey drumstick,genericFoods,141.0,6.84,1.896,0.078,0.0,0.0,0.0,19.96,82.0,86.0,9.0,1.14,0.0,,208.0,2.314,1.958,21.0,2.92,151.0,26.0,0.049,0.28,4.8,0.339,6.0,6.0,0.0,1.9,0.5,0.18,0.0,73.37,,"{""oneMedium"":356.0}",null,1056964593,0
01igg3bb,GOLDEN PINEAPPLE,packagedFoods,46.948,0.0,0.0,0.0,12.681,1.408,8.92,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"{""serving"":213.0,""package"":213.0}",null,939524095,2
01nfpoua,Grapes Champagne,packagedFoods,68.874,0.159,0.053,0.0,18.099,0.927,15.477,0.722,0.0,1.987,13.245,0.596,4.768,,190.728,0.013,0.053,10.596,0.199,26.49,,0.0,0.146,0.397,0.159,,,,0.0,0.0,,14.834,,,"{""serving"":151.0,""cup"":151.0}",0.638,939524094,2
01nt5kob,roasted cashew nut,genericFoods,574.0,46.35,9.157,,32.69,3.0,5.01,15.31,0.0,640.0,45.0,6.0,0.0,,565.0,27.317,7.836,260.0,5.6,490.0,0.0,0.2,0.2,1.4,0.256,69.0,69.0,0.0,0.0,0.0,0.92,34.7,1.7,,"{""oneMedium"":4.0,""serving"":30.0,""handful"":17.13,""cup"":137.0}",0.579,50331646,0
