title,foodId,importance
greek yogurt,sq5k4pga,1
0-calorie sweetener,i5g1gumb,1
egg white,khfns24a,1
low-fat buttermilk,5owb42jb,2
low-fat milk,5ms05vta,2
organic aniseed,v52mlgoa,1
vegan parmesan,0lz6ssja,1
tequila,3tr5zd6a,1
cottage cheese,yhc943fa,1
milk,29or1uha,1
reduced-fat milk,29or1uha,2
hibiscus lemonade,a9lmmmqa,1
mahi-mahi port,7ndsi7na,1
piece chicken,m1eka3kb,1
clove chicken,3jkwjbca,1
cheese tortelloni,9lly2zha,1
donuts,xmhvilab,1
gumbo base,q770caca,1
grain bread,8vgn8c3b,1
layer brownies,mklx1pia,1
up,33wf7l8b,2
up soda,x4viseva,1
7-bone roast,8i9z5qta,1
7-bone steak,8i9z5qta,1
7-grain,56uxkdga,1
7-layer salad,y8seq7qa,1
7-up,4uqzzk1b,1
7-up biscuits,hwc2smaa,1
7-up cake,qjzd0cqa,1
7-up soda,qepi6faa,1
ground beef,shdqncja,1
aam papad,yex7y1ta,1
abalone,3jzqtl2a,1
abc muffins,8axziuqb,1
absinthe,3tr5zd6a,1
abura age,4g853aga,2
acacia,mubvcoxa,2
acacia honey,mubvcoxa,1
acadian rigatoni,cbmklnxa,1
acai juice,6oya8wva,2
acai powder,zyfkdh5b,1
acai pulp,6oya8wva,1
acai puree,xqfn1zga,1
acai sorbet,1xcyu2wa,1
accent,xcu2xdlb,2
accent seasoning,yswdodva,2
accompaniment,5p22l0ub,2
acerola,8j4gvpta,1
acerola juice,ho77aisa,1
acetic acid,zfgnn6kb,1
achari paneer,x0nbvh0a,1
achiote,akxw0s4a,2
achiote paste,akxw0s4a,2
achiote powder,akxw0s4a,2
ackee,ultc85ba,2
acme pancetta,dsx1nvva,1
acme torpedo,k3m1rd8b,1
acorn nut,78nx7wob,1
acorn squash,czmc2sta,1
actinidia deliciosa,7afkhu6b,1
adams thyme,g3casq3b,1
add cacao,alazlmfb,1
add malt,2bwzfhsb,1
adobo,vay9v38a,1
adobo marinade,68pnb2fa,1
adobo sauce,bjsllvlb,1
adobo seasoning,yswdodva,2
adobong kangkong,6u7hskkb,1
adzuki beans,yoanqxdb,2
agar,nvlx5fhb,2
agave,hpg0fjib,1
agave azul,qfolp1tb,1
agave nectar,hpg0fjib,1
agave syrup,2wfg4a2a,1
agave tequila,hpg0fjib,2
aged cheddar,4g853aga,1
aged gouda,hnf3awkb,2
agedashi tofu,9a158kzb,1
agua fresca,kavjzsyb,1
ahi,38nyoaab,2
ahi poke,bim8mkda,1
ahi tuna,38nyoaab,1
ahold paprika,j56cbytb,1
aioli,yb0cjlba,1
aioli sauce,p7y2okaa,1
aioli spread,klhpe3mb,1
ajinomoto,l15merab,2
ajo blanco,9nx1js9a,1
ajwain,ro817s1a,1
ajwain leaves,7iir8xja,1
aka miso,exr7pvoa,2
akki roti,9rdepa2a,1
alaskan halibut,qoeper7a,2
alaskan pollock,ghtsi4yb,1
albacore,38nyoaab,2
albacore steak,38nyoaab,1
alcohol,3tr5zd6a,1
ale,aaouqsbb,2
aleppo,rljc3sna,2
aleppo pepper,rljc3sna,1
alfalfa,ata1ktyb,1
alfalfa sprout,5n1d5hqa,1
alfalfa sprouts,5n1d5hqa,2
alfredo sauce,ui3u5jya,1
algerian couscous,k9f6yqla,1
all spice,5loidtgb,1
all-purpose flour,0c0l8m1a,2
all-purpose marinade,7yuhxmaa,1
all-purpose meatballs,atjiegkb,1
